"",gene_symbol,GSM1480291,GSM1480292,GSM1480293,GSM1480294,GSM1480295,GSM1480296,GSM1480297,GSM1480298,GSM1480299,GSM1480300,GSM1480301,GSM1480302
ENSMUSG00000000157,Itgb2l,0.08948,0.54628,0.12519,0.29607,0.07768,0.31088,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,10.9161,9.70703,14.06297,10.65835,9.04919,13.01815,0.3197,0.29767,0.69537,0.37145,0.22013,0.18909
ENSMUSG00000000167,Pih1d2,1.83426,1.47076,1.2519,1.18426,1.51467,1.43783,0.99906,1.14815,0.65674,0.86673,0.48428,0.66181
ENSMUSG00000000168,Dlat,57.8464,48.15693,120.43245,124.6858,211.82089,254.06768,42.67993,38.90937,49.68039,50.55901,44.46556,44.67235
ENSMUSG00000000171,Sdhd,93.54743,84.29565,87.79968,73.88945,43.26521,46.08814,53.62965,53.83526,68.84172,63.43608,48.64797,44.90871
ENSMUSG00000000182,Fgf23,0,0,0.04173,0,0,0,0.19981,0.08505,0.23179,0.12382,0,0.04727
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0.04252,0,0,0,0
ENSMUSG00000000184,Ccnd2,1.25267,2.01704,0.8346,0.67672,0.27186,0.50518,85.39982,74.96964,111.83883,79.07842,152.63576,128.15529
ENSMUSG00000000194,Gpr107,43.30651,45.13137,53.87328,49.90815,29.67201,36.5674,46.23659,37.63365,40.06109,47.46356,51.72974,45.99598
ENSMUSG00000000197,Nalcn,3.89222,2.68939,2.71244,1.77639,0.89327,0.3886,8.35216,10.8436,2.66559,1.98109,0.1761,0.14182
ENSMUSG00000000202,Btbd17,0.44738,0.71437,0.29211,1.05738,0.54373,0.31088,0,0.51029,0.1159,0.24764,0.1761,0.42545
ENSMUSG00000000204,Slfn4,0.89476,0.67235,0.54249,0.71902,0,0,1.67842,1.14815,0,0.08255,0.08805,0
ENSMUSG00000000214,Th,0,0,0,0,0,0,0.23977,0.51029,1.35211,1.56836,0.57233,0.70908
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,7.7397,11.93418,3.75569,4.2295,20.54515,14.1451,5.07523,14.24551,10.81688,5.90199,4.27046,4.72723
ENSMUSG00000000223,Drp2,0.49212,1.13459,1.04325,0.63443,0.46605,0.31088,43.67899,60.1288,18.96817,22.32851,23.99379,23.35253
ENSMUSG00000000244,Tspan32,0.08948,0.08404,0.08346,0.12689,0,0,0,0,0.03863,0,0,0
ENSMUSG00000000247,Lhx2,0.5816,0.04202,0,0,0.23303,0.03886,0.27974,0.55281,0.1159,0.16509,0,0.04727
ENSMUSG00000000248,Clec2g,0.31317,0,0.08346,0.08459,0.11651,0.15544,0,0,0,0.04127,0,0.04727
ENSMUSG00000000253,Gmpr,11.8556,7.77403,1.08498,2.83377,0.69908,0.85492,1.51857,2.08367,6.68329,7.59417,6.6038,7.04358
ENSMUSG00000000263,Glra1,0.04474,0.08404,0,0.16918,0,0.07772,0.07992,0.04252,0.07726,0,0.04403,0
ENSMUSG00000000266,Mid2,65.40715,58.36822,71.31637,75.20059,19.34118,17.05961,44.55816,42.90662,57.56126,77.92279,101.78652,83.86111
ENSMUSG00000000275,Trim25,70.41782,84.5898,75.03033,102.26942,35.92488,36.68398,93.8319,97.08207,72.62763,64.34408,82.50343,69.72669
ENSMUSG00000000276,Dgke,16.59785,17.52307,16.85887,15.01474,5.78682,7.53887,18.58255,14.92589,13.637,10.60707,13.912,16.02532
ENSMUSG00000000278,Scpep1,67.42036,72.36147,42.94005,41.61833,18.9528,19.46894,58.94466,73.26868,66.63971,73.38279,53.5788,52.04684
ENSMUSG00000000282,Mnt,29.34821,38.32384,26.45675,19.70949,7.61219,8.54923,52.95028,45.79824,44.92869,30.78941,27.07557,30.63247
ENSMUSG00000000290,Itgb2,0.40264,0.46224,0.20865,0.38066,0.07768,0.34974,0.87917,1.57338,1.00442,1.40327,0.48428,0.70908
ENSMUSG00000000295,Hddc2,34.26941,32.14664,23.95295,21.90883,19.65188,21.0622,9.39118,10.5034,7.72634,6.56235,5.50316,5.71995
ENSMUSG00000000296,Tpd52l1,0.53686,0.71437,0.33384,0.50754,0.58257,0.54404,0.6394,0.38272,0.77263,0.82545,0.39623,0.33091
ENSMUSG00000000301,Pemt,4.56329,4.37026,3.83915,3.67967,4.4275,3.76943,2.83734,2.76405,3.70864,2.51763,1.36478,1.18181
ENSMUSG00000000303,Cdh1,1052.77771,1136.43641,835.09847,837.94945,119.23178,102.86282,307.47131,399.34197,393.42542,411.4059,182.74907,176.56215
ENSMUSG00000000305,Cdh4,0.67107,0.21011,0,0,0.6214,0.03886,0.75929,0.46776,1.08169,0.53654,0.48428,0.8509
ENSMUSG00000000308,Ckmt1,37.35634,38.91215,18.36115,19.70949,17.3993,16.2824,8.47205,6.50616,35.50255,51.1781,52.08194,62.11584
ENSMUSG00000000317,Bcl6b,1.70005,1.38672,0.45903,0.46525,0.3107,0.3886,4.55572,8.67488,4.28812,3.21927,5.10694,4.49087
ENSMUSG00000000318,Clec10a,0.13421,0.16809,0,0,0,0,0.11989,0.38272,0.23179,0.04127,0,0.04727
ENSMUSG00000000320,Alox12,1.20793,1.80694,0.75114,0.25377,0.11651,0.03886,5.59475,6.25101,2.51106,2.06363,2.59749,3.9236
ENSMUSG00000000325,Arvcf,22.63749,21.22099,15.39833,14.33802,4.50517,5.47928,20.0212,18.66799,17.46154,19.9347,29.58501,28.88339
ENSMUSG00000000326,Comt,36.05893,32.10462,47.11304,44.74816,17.67116,19.7021,42.44015,35.72008,42.14721,54.06719,74.49083,71.57031
ENSMUSG00000000339,Rtca,19.5953,18.02733,12.81107,10.48917,7.30149,8.54923,23.33809,19.561,14.60279,14.61052,13.60382,17.15986
ENSMUSG00000000340,Dbt,23.9349,23.06994,32.63277,17.63703,41.0903,41.7358,21.65966,19.09323,24.29935,14.6518,18.49063,17.15986
ENSMUSG00000000346,Dazap2,284.84768,275.74677,245.37173,242.05455,94.10378,96.80064,196.89513,180.30135,161.71237,192.9497,221.9316,234.51803
ENSMUSG00000000355,Mcts1,31.31669,29.96151,34.13505,32.65178,18.56443,15.07774,24.57692,21.89981,26.38546,26.33196,25.27053,22.78526
ENSMUSG00000000359,Rem1,0.04474,0.08404,0.04173,0.0423,0,0,0.39962,0.46776,0.1159,0.20636,0.61635,0.33091
ENSMUSG00000000365,Rnf17,0.17895,0.12607,0.04173,0.08459,0.07768,0,0,0.12757,0,0,0,0
ENSMUSG00000000374,Trappc10,88.08938,89.67443,115.00757,101.67729,54.95536,52.57779,106.53997,89.59786,144.67579,119.69072,107.20163,114.25722
ENSMUSG00000000378,Ccm2,26.84288,27.69234,17.7352,18.10228,9.32105,8.74353,26.65497,28.2784,23.10177,24.43342,23.81769,21.60345
ENSMUSG00000000381,Wap,90.19207,95.55748,4140.27234,8414.43021,49204.85802,46410.21375,1.23884,1.70096,161.78964,210.77949,600.50525,610.7585
ENSMUSG00000000384,Tbrg4,80.08126,80.89188,75.32244,64.8806,34.44905,42.39643,79.12571,68.97377,64.5536,52.25119,34.11962,38.19604
ENSMUSG00000000385,Tmprss2,516.50173,448.79237,95.01895,93.51435,47.69271,43.60109,11.70901,8.24964,6.95371,4.08599,3.3019,2.41089
ENSMUSG00000000386,Mx1,0.71581,0.46224,0.20865,0.29607,0.27186,0.27202,0.35966,0.68038,0.8499,0.82545,0.92453,1.13454
ENSMUSG00000000392,Fap,0.44738,1.21863,1.54401,0.67672,0.11651,0.27202,1.11895,1.40329,1.19758,1.89854,0.88051,0.66181
ENSMUSG00000000394,Gcg,0,0,0,0.0423,0,0,0,0,0.03863,0,0,0
ENSMUSG00000000399,Ndufa9,32.79305,27.2301,41.10394,35.99308,33.08973,32.60367,22.21914,17.47732,30.28727,31.73868,25.88688,11.29809
ENSMUSG00000000402,Egfl6,0.31317,0.3782,0.58422,0.71902,0.07768,0.11658,17.50357,34.82708,22.25187,20.26488,78.71726,85.23201
ENSMUSG00000000409,Lck,1.83426,1.80694,0.37557,0.80361,0.38838,0.23316,13.54728,12.75717,10.08288,9.16253,6.16354,3.40361
ENSMUSG00000000411,Tssk3,0.08948,0.25213,0.08346,0.08459,0.07768,0.23316,0.27974,0.59533,0.1159,0.20636,0.22013,0.28363
ENSMUSG00000000416,Cttnbp2,0.44738,0.92448,0.8346,0.29607,0.42721,0.31088,25.69587,31.55274,37.74319,33.88486,54.59139,75.06846
ENSMUSG00000000420,Galnt1,99.72129,97.9107,115.21621,115.80384,121.56204,126.95612,74.7698,62.89285,71.08236,65.3759,58.72977,60.69767
ENSMUSG00000000435,Myf5,0,0,0,0,0,0.03886,0,0.04252,0,0,0,0
ENSMUSG00000000439,Mkrn2,31.04826,32.35675,20.28072,18.94818,9.82594,10.84198,31.37055,24.3662,20.66797,23.36033,26.15104,27.22886
ENSMUSG00000000440,Pparg,0.67107,1.13459,0.25038,0,0.46605,0,1.07899,0.72291,1.19758,0.20636,0.48428,0.23636
ENSMUSG00000000441,Raf1,129.33794,120.1402,108.41424,95.5868,46.33339,43.60109,164.92515,157.76368,212.70624,209.45876,215.54793,204.73646
ENSMUSG00000000486,Sept1,1.74479,2.39524,1.16844,1.39574,0.73792,0.46632,1.51857,1.70096,1.15895,1.19691,0.79246,0.70908
ENSMUSG00000000489,Pdgfb,122.58248,109.46668,92.4317,109.45958,10.87456,6.80053,199.81239,131.99419,143.51683,140.12069,66.74237,53.51228
ENSMUSG00000000530,Acvrl1,19.19266,25.46519,23.41047,22.41637,18.71978,20.90676,22.45891,25.93958,22.32913,32.64668,72.15749,66.89035
ENSMUSG00000000531,Grasp,10.28977,12.9427,4.33991,4.01803,0.93211,1.32125,59.94372,44.94776,35.1935,28.6845,21.2202,25.95251
ENSMUSG00000000532,Acvr1b,39.54851,39.92067,53.58117,55.95635,32.89554,33.03113,54.30901,64.934,74.28879,78.29424,72.86189,68.35579
ENSMUSG00000000538,Tom1l2,53.37259,58.3262,59.17298,68.94092,30.25458,24.59848,77.48725,75.13974,92.48433,109.70274,130.05077,136.42794
ENSMUSG00000000544,Gpa33,0.08948,0.12607,0.45903,0.38066,0.54373,0.54404,0,0.34019,0.15453,0.66036,0.26415,0.28363
ENSMUSG00000000552,Zfp385a,10.33451,10.4214,0.66768,1.18426,2.60213,2.48705,30.73115,24.45124,21.94282,19.72833,32.57873,34.98152
ENSMUSG00000000555,Itga5,38.38532,56.9815,19.94689,25.41932,4.50517,4.08032,126.00169,196.88567,379.518,536.54461,578.18442,493.66494
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,78.64963,77.40408,73.98709,65.09208,32.46833,36.02336,82.52252,68.6761,83.0582,62.15663,32.22653,29.97066
ENSMUSG00000000562,Adora3,0.35791,0.46224,0.33384,0.29607,0.07768,0.07772,0.51951,0.38272,0.23179,0.33018,0.39623,0.28363
ENSMUSG00000000563,Atp5f1,201.50054,202.71296,213.65701,186.39427,184.67333,184.3137,120.64672,121.23565,157.07657,145.65123,119.35262,108.77363
ENSMUSG00000000567,Sox9,395.9772,498.71422,202.80724,228.64702,124.90209,122.83694,176.67412,230.90479,264.82043,263.64977,334.85652,278.43402
ENSMUSG00000000568,Hnrnpd,147.85952,131.27597,119.97342,93.13369,43.18754,49.54669,162.08781,145.3467,168.16387,137.80942,98.04437,98.84644
ENSMUSG00000000579,Dynlt1c,16.50837,20.04438,4.84067,2.96065,2.40794,1.28239,1.51857,2.38134,1.27485,1.44454,1.62894,1.55999
ENSMUSG00000000581,C1d,23.97964,23.44814,14.02124,14.29573,9.59292,8.66581,19.62158,18.15771,20.01123,20.30615,21.88058,18.57803
ENSMUSG00000000594,Gm2a,99.76603,111.10553,278.25488,286.845,589.43997,607.73392,35.72646,36.23036,36.6615,31.20213,53.44673,59.09041
ENSMUSG00000000600,Krit1,24.69545,24.24655,13.35356,14.67638,8.2336,5.63472,29.13265,31.08497,35.42529,37.22794,46.88696,41.59965
ENSMUSG00000000605,Clcn4,75.42849,70.55453,56.91956,57.35208,28.50688,31.43786,82.36267,76.28788,70.34836,66.36644,74.57888,74.45392
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0,0,0.04127,0,0
ENSMUSG00000000617,Grm6,0.13421,0,0.04173,0.0423,0,0,0.23977,0,0.03863,0,0.22013,0.04727
ENSMUSG00000000627,Sema4f,0.53686,1.26065,0.04173,0.0423,0.03884,0,0.11989,0.12757,0,0.08255,0.13208,0
ENSMUSG00000000628,Hk2,67.73353,65.34383,68.43701,60.6511,87.42369,91.04934,70.25404,80.32765,119.14022,114.98564,74.22668,61.54857
ENSMUSG00000000631,Myo18a,209.7771,201.2422,82.08269,73.88945,59.77124,68.86019,198.37374,148.96123,117.36316,114.86182,109.13875,103.29004
ENSMUSG00000000632,Sez6,0.13421,0.12607,0.25038,0.0423,0.11651,0.1943,0.11989,0.21262,0.34769,0.24764,0.04403,0.18909
ENSMUSG00000000673,Haao,0.04474,0,0.04173,0,0,0,0.11989,0.12757,0.1159,0,0.08805,0.09454
ENSMUSG00000000682,Cd52,0.22369,0,0.25038,0.25377,0.11651,0.15544,0.15985,0.04252,0.27042,0.08255,0.04403,0
ENSMUSG00000000686,Abhd15,0.53686,0.9665,0.16692,0.12689,0.3107,0.46632,1.03902,0.55281,0.69537,1.11436,0.1761,1.18181
ENSMUSG00000000690,Hoxb6,0.13421,0.16809,0,0.12689,0.03884,0.15544,0.43959,0.42524,0.1159,0.04127,0.13208,0.52
ENSMUSG00000000693,Loxl3,1.83426,2.14311,1.6692,1.48033,1.24281,0.69948,48.31464,56.68436,72.78216,77.63388,45.25802,51.95229
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,445.32336,537.92052,1200.65227,1234.5078,2805.24802,3159.17495,11.42927,11.90669,46.86027,30.08777,22.10071,23.82525
ENSMUSG00000000708,Kat2b,60.48595,38.15576,33.0918,43.18324,32.35181,30.2332,36.76548,41.88604,24.53114,35.3294,52.30207,59.13768
ENSMUSG00000000711,Rab5b,66.25717,64.54542,30.17071,33.92063,38.95423,33.73061,56.90657,48.09453,57.75442,74.86861,123.35892,130.47163
ENSMUSG00000000724,Cryba1,0.31317,0.04202,0.12519,0.16918,0.03884,0.07772,0.07992,0.04252,0.19316,0.16509,0.04403,0.09454
ENSMUSG00000000730,Dnmt3l,0,0.16809,0,0,0,0,0.11989,0.38272,0.03863,0.12382,0.13208,0.04727
ENSMUSG00000000731,Aire,0.53686,1.51278,1.2519,0.46525,0.6214,0.23316,0.15985,0.34019,0.54084,1.07309,0.08805,0
ENSMUSG00000000732,Icosl,4.38434,5.16868,5.88391,3.00295,1.35932,1.74871,28.25347,25.81201,22.48366,15.60107,15.32081,14.55988
ENSMUSG00000000738,Spg7,54.53578,61.47783,39.76858,33.58227,28.89526,29.53372,45.67711,38.10142,40.60194,48.33029,49.13225,48.07596
ENSMUSG00000000739,Sult5a1,12.66089,16.05231,0.58422,0.8459,0.3107,0.31088,2.91726,6.5912,5.06076,6.35599,3.21385,2.93088
ENSMUSG00000000740,Rpl13,774.55127,700.41865,456.77533,413.89932,195.08183,193.40698,461.40678,560.29494,452.99553,431.67078,270.40346,284.53215
ENSMUSG00000000743,Chmp1a,116.49809,121.98916,86.17221,74.98912,37.98328,37.26689,55.50788,50.94364,44.89006,49.32083,52.08194,54.505
ENSMUSG00000000751,Rpa1,54.62526,54.50222,41.43778,28.2108,39.07074,37.69435,66.7773,54.47312,57.67716,64.38535,120.14508,124.13714
ENSMUSG00000000753,Serpinf1,2.55007,3.02557,1.08498,1.81869,1.12629,1.74871,36.40582,45.41553,118.32895,121.42417,36.58503,33.04336
ENSMUSG00000000759,Tubgcp3,84.95771,81.22806,46.98785,41.44915,19.7684,21.17878,58.66492,55.36612,38.28403,53.11792,48.73602,58.33406
ENSMUSG00000000766,Oprm1,0.08948,0.08404,0.04173,0.0423,0,0,0.11989,0.08505,0,0.04127,0.04403,0.09454
ENSMUSG00000000776,Polr3d,52.2094,52.82135,50.11759,44.3675,27.76896,26.58034,58.62496,48.60482,42.57215,34.17376,33.81144,36.87242
ENSMUSG00000000782,Tcf7,10.78189,8.99266,6.34294,6.21737,0.07768,0.03886,79.92496,80.32765,47.32386,34.75158,19.28309,16.92349
ENSMUSG00000000787,Ddx3x,1479.53474,1420.46147,1319.12342,1221.65011,541.94145,557.48775,2776.9127,2574.14191,2543.9373,2379.78171,2525.99629,2532.99325
ENSMUSG00000000791,Il12rb1,0.44738,0.3782,0.16692,0.29607,0,0.1943,0.19981,0,0,0,0.1761,0
ENSMUSG00000000792,Slc5a5,68.80725,311.84346,28.33459,31.50981,62.68407,78.49751,1.9182,3.44444,2.70422,1.19691,2.15724,1.79635
ENSMUSG00000000794,Kcnn3,0.5816,0.25213,0.29211,0.16918,0.19419,0.03886,0.83921,0.55281,1.08169,0.70164,0.26415,0.42545
ENSMUSG00000000804,Usp32,47.73559,47.23246,46.19498,56.337,21.08888,28.91195,40.3621,51.2413,49.29407,38.17721,37.99384,45.47598
ENSMUSG00000000805,Car4,0.49212,0.54628,1.04325,2.87606,94.88053,63.96381,0.55947,0.68038,0.27042,0.41273,1.67296,1.13454
ENSMUSG00000000811,Txnrd3,19.95321,16.09433,11.85129,11.41966,2.95167,3.65285,33.28874,31.59526,45.70132,36.98031,25.2265,24.25071
ENSMUSG00000000817,Fasl,0,0,0.04173,0.0423,0.03884,0.11658,0.15985,0.21262,0.1159,0.04127,0.08805,0.28363
ENSMUSG00000000823,Zfp512b,77.62066,85.51428,69.48026,62.3429,22.48704,23.97671,38.36398,44.52253,68.18498,54.47991,42.66053,45.99598
ENSMUSG00000000826,Dnajc5,151.93069,158.33798,131.44914,125.70088,82.10293,86.61928,117.96924,120.81041,120.4537,103.96584,85.93741,95.77374
ENSMUSG00000000827,Tpd52l2,79.72335,88.32973,56.544,52.61504,21.0112,27.78501,49.15385,48.22211,54.50935,53.07664,58.37756,56.63225
ENSMUSG00000000838,Fmr1,103.34508,91.39732,53.70636,50.88094,30.06039,28.91195,152.89644,156.87068,133.20217,117.99854,128.73001,125.31895
ENSMUSG00000000861,Bcl11a,6.8002,5.16868,4.63202,5.45606,1.86421,2.56477,5.91445,4.89025,1.31348,1.11436,0.83648,1.32363
ENSMUSG00000000869,Il4,0.44738,0.16809,0.08346,0.12689,0.15535,0.03886,0.27974,0.21262,0.30905,0.454,0.13208,0.52
ENSMUSG00000000876,Pxmp4,13.24249,13.61505,25.58042,31.50981,42.33311,35.16844,10.90976,11.48145,15.80037,18.61397,24.43405,21.83982
ENSMUSG00000000881,Dlg3,61.15703,65.55394,47.23823,60.56651,16.38951,15.5052,29.2925,23.47319,26.92631,24.3096,46.13853,47.27233
ENSMUSG00000000884,Gnb1l,7.47127,6.13518,7.261,6.13278,5.12658,6.64509,6.47392,5.52811,5.64023,4.62254,4.27046,6.6654
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0.42524,0,0,0,0
ENSMUSG00000000901,Mmp11,2.77376,1.47076,0.20865,0.29607,0.42721,0,6.79362,5.14539,1.97022,0.86673,1.58491,1.98544
ENSMUSG00000000902,Smarcb1,37.98267,39.50045,25.24658,21.06293,13.67088,15.5052,51.8713,37.20841,42.34036,40.03448,38.83032,42.40328
ENSMUSG00000000903,Vpreb3,0.04474,0.04202,0.04173,0.0423,0.03884,0.07772,0.23977,0.04252,0,0,0,0
ENSMUSG00000000915,Hip1r,201.36633,244.35652,182.44306,153.78479,38.7212,37.34461,76.72796,60.00123,55.82283,48.99065,28.1762,30.9161
ENSMUSG00000000916,Nsun5,19.37161,14.11931,7.84522,7.6554,5.43728,5.82902,17.7833,13.22493,12.94163,11.63889,8.36481,10.77809
ENSMUSG00000000934,Top1mt,8.45551,9.41287,6.8437,6.38655,3.72842,3.61399,11.10957,10.88612,14.44826,15.22961,22.01266,19.66529
ENSMUSG00000000938,Hoxa10,0,0.08404,0,0,0,0,0.03996,0.04252,0.03863,0,0,0
ENSMUSG00000000942,Hoxa4,0,0,0,0,0,0,0,0.08505,0.03863,0,0.08805,0
ENSMUSG00000000948,Snurf,3.48957,2.81546,3.25493,5.16,2.25259,2.33161,1.2788,0.97805,1.08169,0.908,0.96856,1.27635
ENSMUSG00000000957,Mmp14,191.92658,163.29655,12.5607,19.03277,12.42807,11.114,202.80958,191.57018,142.35788,134.38379,183.3214,192.44565
ENSMUSG00000000958,Slc7a7,2.68429,0,0.95979,0,0,0,1.07899,0,0,2.93036,0,0
ENSMUSG00000000959,Oxa1l,53.05942,62.99061,69.73064,67.96814,45.12942,43.40679,36.76548,36.6556,38.74761,42.34575,42.30832,47.36687
ENSMUSG00000000976,Heatr6,22.36907,22.77579,17.10925,15.60687,7.80638,9.9482,14.98593,14.75579,7.37866,8.83235,10.12582,10.39991
ENSMUSG00000000982,Ccl3,0.08948,0,0.08346,0.12689,0.07768,0,0,0,0.50221,0.33018,0.04403,0.18909
ENSMUSG00000000983,Wfdc18,635.19199,461.06272,2714.11177,3949.80745,1796.63261,2056.09067,13.9469,12.41698,115.16115,109.04237,22.05668,25.24342
ENSMUSG00000001014,Icam4,0,0.16809,0,0.08459,0,0.07772,0.47955,0.38272,0.54084,0.33018,0,0.47272
ENSMUSG00000001016,Ilf2,53.7305,50.216,25.49696,19.45572,12.03969,12.12437,56.02739,46.01086,50.37576,41.10757,30.50954,31.10519
ENSMUSG00000001017,Chtop,155.15184,172.28921,101.57054,85.73206,57.24679,48.45861,151.33791,147.68551,132.73859,131.16452,133.70487,123.5226
ENSMUSG00000001018,Snapin,38.56427,35.04615,14.02124,13.99966,5.67031,5.79016,28.0137,26.23725,24.18346,29.09723,28.96866,31.29428
ENSMUSG00000001020,S100a4,1.16319,1.26065,0.20865,0.08459,0.07768,0,4.03621,3.57201,7.88087,10.5658,24.08185,21.55618
ENSMUSG00000001021,S100a3,0.62633,0.75639,0.37557,0.38066,0,0,0.43959,1.27572,1.42937,0.78418,1.49686,2.2218
ENSMUSG00000001023,S100a5,0,0,0,0,0,0,0,0,0,0,0.04403,0
ENSMUSG00000001025,S100a6,5.50279,5.799,0.58422,0.76131,0.15535,0.1943,15.62533,17.30723,22.67682,27.61141,26.63531,30.53793
ENSMUSG00000001027,Scn4a,0.31317,0.3782,0.29211,0.08459,0.07768,0.03886,0.43959,0.51029,0.46358,0.49527,0.26415,0.37818
ENSMUSG00000001029,Icam2,1.92374,1.72289,0.91806,1.14197,0.27186,0.34974,5.67467,9.95059,2.66559,2.80654,1.89309,2.97816
ENSMUSG00000001034,Mapk7,34.00098,37.31532,17.98558,18.65212,4.54401,4.0026,21.9394,22.70776,15.37542,11.72144,13.29564,14.84351
ENSMUSG00000001036,Epn2,61.78336,66.31033,26.54021,24.48883,22.56471,22.88863,38.40394,36.14532,40.09972,48.86683,67.27068,68.30852
ENSMUSG00000001039,B9d1,11.67665,10.16927,2.7959,2.70688,3.06818,3.88602,12.50826,8.63235,9.38751,9.28635,12.85539,15.45805
ENSMUSG00000001052,Sec24b,64.69134,71.6471,69.14642,68.34879,23.57449,23.35495,80.08481,74.58692,78.57692,73.17643,66.21407,77.66844
ENSMUSG00000001053,N4bp3,36.19315,33.4073,46.90439,40.01111,7.02963,4.1969,68.25591,65.40176,41.95405,40.36466,24.83028,26.33069
ENSMUSG00000001054,Rmnd5b,29.30348,32.39878,44.31714,36.7121,8.07824,8.70467,24.65685,23.34562,20.04986,16.13761,12.81137,14.41806
ENSMUSG00000001056,Nhp2,79.32071,64.25127,85.37935,70.37896,33.63346,34.23579,36.68556,37.67618,35.73434,28.47814,11.00633,9.7381
ENSMUSG00000001062,Vps9d1,25.456,22.94388,19.73824,16.11441,8.81616,10.56996,23.5379,21.77224,18.96817,19.23306,19.41516,25.14888
ENSMUSG00000001065,Zfp276,34.62731,38.70204,32.71623,31.34063,15.10787,17.05961,39.12327,25.55687,21.71103,19.10924,19.89944,25.14888
